Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
39743,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179100,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,12-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,444410
39744,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179099,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,12-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,436546
39745,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179074,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,12-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,423058
39746,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270890,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39747,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270899,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39748,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271214,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39749,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270891,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39750,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270895,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39751,Madhya Pradesh,Providing supply pipelines for drinking water,WS/MP650/2025-2026/270897,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,317500
39752,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2026-2027/276095,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,09-Jul-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39753,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2026-2027/276094,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,09-Jul-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39754,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271215,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39755,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271210,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,15-Apr-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39756,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227159,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,31-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,89149
39757,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227167,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,27-Feb-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39758,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227168,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,27-Feb-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39759,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227159,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39760,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227172,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39761,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227171,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,338600
39762,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227170,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,339100
39763,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227172,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,28-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,92709
39764,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227170,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,28-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,93111
39765,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227171,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,28-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,92458
39766,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227167,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,28-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,90337
39767,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/227168,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,28-Mar-2026,NAVKANJ ASSOCIATES,Payment Success,84922
39768,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/183394,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,20-Jun-2025,N R Construction,Payment Success,298296
39769,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2026-2027/249216,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,27-Jul-2026,N R Construction,Payment Success,399915
39770,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18014/2024-2025/167511,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),06-Jun-2025,obul reddy ganugapenta,Payment Success,499886
39771,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18014/2024-2025/167512,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),06-Jun-2025,obul reddy ganugapenta,Payment Success,499868
39772,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/196734,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),20-Jul-2025,NATIONAL IRON STORE,Payment Success,42000
39773,Punjab,Construction of culverts and bridges,WS/MP18155/2025-2026/218102,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),12-Mar-2026,NATIONAL IRON STORE,Payment Success,25900
39774,Punjab,Construction of culverts and bridges,WS/MP18155/2025-2026/218102,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),12-Mar-2026,NATIONAL IRON STORE,Payment Success,26850
39775,Punjab,Construction of night shelters for homeless,WS/MP18155/2025-2026/250125,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),23-Jun-2026,NATIONAL IRON STORE,Payment Success,15390
39776,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/196734,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),30-Jan-2026,NATIONAL IRON STORE,Payment Success,20000
39777,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/265006,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),24-Mar-2026,NATIONAL IRON STORE,Payment Success,19500
39778,Punjab,Construction of community centers and community halls,WS/MP18155/2025-2026/249972,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),01-Apr-2026,NATIONAL IRON STORE,Payment Success,49537
39779,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18155/2025-2026/257935,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),09-Jul-2026,NATIONAL IRON STORE,Payment Success,7800
39780,Punjab,Construction of buildings for community cultural activities,WS/MP18155/2025-2026/256475,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),13-Jul-2026,NATIONAL IRON STORE,Payment Success,7800
39781,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161781,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,73754
39782,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161785,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,137118
39783,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162198,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,69267
39784,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162210,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,39244
39785,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162209,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,137118
39786,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162205,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,44065
39787,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161770,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,203559
39788,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163782,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,38555
39789,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161610,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,224064
39790,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163805,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,44065
39791,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161570,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,39934
39792,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161769,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,21-Jan-2026,KADDHURI KATTAIAH,Payment Success,44754
39793,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162240,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,09-Feb-2026,KADDHURI KATTAIAH,Payment Success,158964
39794,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/235105,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,09-Feb-2026,KADDHURI KATTAIAH,Payment Success,99593
39795,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18190/2025-2026/163797,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,23-Jun-2025,KADDHURI KATTAIAH,Payment Success,499996
39796,Telangana,"Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings",WS/MP18190/2025-2026/163800,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,27-Oct-2025,KADDHURI KATTAIAH,Payment Success,182573
39797,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161567,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,158091
39798,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161778,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,43377
39799,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161777,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,133611
39800,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163802,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,44754
39801,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161783,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,137461
39802,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161773,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,75225
39803,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161772,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,73160
39804,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161771,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,74513
39805,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161787,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,74513
39806,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161768,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,154501
39807,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161509,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,02-Aug-2025,KADDHURI KATTAIAH,Payment Success,143171
39808,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162207,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,136391
39809,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162197,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,78643
39810,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161566,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,43377
39811,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161767,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,83041
39812,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161437,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,31-Jul-2025,KADDHURI KATTAIAH,Payment Success,133843
39813,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162185,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,131925
39814,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162188,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,136157
39815,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162190,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,42688
39816,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162191,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,136015
39817,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162193,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,131761
39818,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162194,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,41999
39819,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162211,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,157662
39820,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162186,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,41999
39821,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162208,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,137071
39822,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163803,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,137350
39823,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161416,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,132797
39824,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161429,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,78643
39825,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161434,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,131353
39826,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161436,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,28917
39827,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161470,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,33048
39828,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161471,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,39244
39829,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161474,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,01-Aug-2025,KADDHURI KATTAIAH,Payment Success,77956
39830,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161513,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,139098
39831,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162239,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,159059
39832,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162248,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,138006
39833,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161510,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,39244
39834,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162252,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,44065
39835,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163780,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,79333
39836,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161761,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,79333
39837,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161512,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,138410
39838,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/163774,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,44754
39839,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161766,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,44065
39840,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162249,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,39244
39841,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/161511,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,139193
39842,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162241,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,139075
39843,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162246,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,137579
39844,Telangana,Installing tube-wells and borewells,WS/MP18190/2025-2026/162250,WARANGAL(District Collector Warangal_IDA),BALRAM NAIK PORIKA,MAHABUBABAD,26-Nov-2025,KADDHURI KATTAIAH,Payment Success,44065
